msgctxt,msgid,msgid_plural,target_lang,status,issues
Theme Name,ReviewNews,,fr,new,
Theme URL/Link,https://afthemes.com/products/reviewnews/,,fr,new,unchanged_like
Theme Description for WordPress repository/dashboard,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,fr,new,
Theme Author Name,AF themes,,fr,new,
Theme Author URL,https://www.afthemes.com/,,fr,new,unchanged_like
Title on 404 Error Page,Oops! That page can&rsquo;t be found.,,fr,new,
Text on 404 Error Page,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fr,new,
WordPress Admin Menu Item: Dashboard,Dashboard,,fr,new,
WordPress Admin Menu Item: Customize (Customizer),Customize,,fr,new,
WordPress Admin Menu Item/Feature Name: Header Builder,Header Builder,,fr,new,
WordPress Admin Menu Item/Feature Name: Footer Builder,Footer Builder,,fr,new,
WordPress Admin Menu Item/Feature Name: Starter Sites,Starter Sites,,fr,new,
WordPress Admin Menu Item/Feature Name: Elementor Kits,Elementor Kits,,fr,new,
WordPress Admin Menu Item/Feature Name: Block Patterns,Block Patterns,,fr,new,
Call to Action Button to upgrade to Pro Version,Upgrade to Pro,,fr,new,
Call to Action Button to upgrade to Pro Version (Shorter text),Upgrade Now,,fr,new,
Admin notice: Templatespare plugin needs update,The Templatespare plugin should be updated to the latest version,,fr,new,
Theme dashboard feature description,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,fr,new,
Admin notice: Blockspare plugin version required. %s is the required version number.,Blockspare plugin version should be more than %s.,,fr,new,
Theme dashboard feature description for Blockspare integration,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,fr,new,
Admin notice: Elespare plugin version required. %s is the required version number.,Elespare plugin version should be more than %s.,,fr,new,
Theme dashboard feature description for Elespare integration,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,fr,new,
Confirmation prompt before plugin installation,Are you sure you want to install this plugin?,,fr,new,
Button label to install a plugin,Install Now,,fr,new,
Button label to activate a plugin,Activate,,fr,new,
Status label: Plugin is activated,Activated,,fr,new,
Button/Link to access Starter Sites,Get Starter Sites,,fr,new,
Button label: Start setup process,Get Started,,fr,new,
Description for the 'Get Started' action,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,fr,new,
"Prefix before an author's name (e.g., 'Plugin By [Author]')",By,,fr,new,
Button/Link text: View more details,More Details,,fr,new,
Welcome heading in an admin notice,"👋 Welcome, and Thank You!",,fr,new,
Welcome message after theme activation. %s is the theme name.,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,fr,new,
Section heading in a setup notice,🚀 Start With One Click,,fr,new,
Description for the one-click starter sites feature,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,fr,new,
Button/Link to view all demo sites,View Demos,,fr,new,
Link to the theme's admin dashboard page,Theme dashboard,,fr,new,
Section heading in a support notice,🤝 We're Here for You,,fr,new,
Support notice encouraging phrase,Whether you're just starting or customizing your site.,,fr,new,
Link to theme documentation,Documentation,,fr,new,unchanged_like
Link to video tutorials,Video Tutorials,,fr,new,
Link to support/helpdesk,Support,,fr,new,
Link to WordPress review page to rate the theme,⭐ Rate This Theme,,fr,new,
Error message when user lacks plugin installation permissions,"Sorry, you are not allowed to install plugins on this site.",,fr,new,
Error message when nonce verification fails (security check),"Error - unable to verify nonce, please try again.",,fr,new,
Error message when user lacks plugin activation permissions,"Sorry, you are not allowed to activate plugins on this site.",,fr,new,
Comments section heading for one comment,One thought on &ldquo;%1$s&rdquo;,,fr,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,new,
Message displayed when comments are disabled,Comments are closed.,,fr,new,
Copyright line in the footer of a website,%1$s by %2$s.,,fr,new,
Name of the WordPress Menu Location (Primary/Main Navigation),Primary Menu,,fr,new,
Name of the WordPress Menu Location (Social Icons Navigation),Social Menu,,fr,new,
Name of the WordPress Menu Location (Footer Navigation),Footer Menu,,fr,new,
Accessibility link text to skip navigation,Skip to content,,fr,new,
Accessibility text for the search icon/button,Open search form,,fr,new,
Instructional text in the Header/Footer Builder,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,fr,new,
Tooltip for the button that hides the builder panel,Hide builder panel,,fr,new,
Button text to hide the builder panel,Hide Builder,,fr,new,
"Tooltip for the device view controls (desktop, tablet, mobile)",Device view controls,,fr,new,
Title of the modal/panel to select a new element for the builder,Choose an Element,,fr,new,
Accessibility text for the button that closes the element choice modal,Close choose element modal,,fr,new,
Customizer panel title for Footer Layout,Footer Layout,,fr,new,
Description for the Header Builder in Customizer,Create dynamic header effortlessly with drag-and-drop builder.,,fr,new,
Title for the Header Builder Customizer panel,Header,,fr,new,
Description for the Footer Builder in Customizer,Create dynamic footer effortlessly with drag-and-drop builder.,,fr,new,
Title for the Footer Builder Customizer panel,Footer,,fr,new,
Customizer setting label to enable a builder. %s is either 'Header' or 'Footer'.,Enable %s Builder,,fr,new,
Button text in the Header/Footer Builder to add a new element,Add Element,,fr,new,
