msgctxt,msgid,msgid_plural,target_lang,status,issues
Theme Name,ReviewNews,,nl,new,
Theme URL/Link,https://afthemes.com/products/reviewnews/,,nl,new,unchanged_like
Theme Description for WordPress repository/dashboard,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,nl,new,
Theme Author Name,AF themes,,nl,new,
Theme Author URL,https://www.afthemes.com/,,nl,new,unchanged_like
Title on 404 Error Page,Oops! That page can&rsquo;t be found.,,nl,new,
Text on 404 Error Page,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,nl,new,
WordPress Admin Menu Item: Dashboard,Dashboard,,nl,new,unchanged_like
WordPress Admin Menu Item: Customize (Customizer),Customize,,nl,new,
WordPress Admin Menu Item/Feature Name: Header Builder,Header Builder,,nl,new,
WordPress Admin Menu Item/Feature Name: Footer Builder,Footer Builder,,nl,new,
WordPress Admin Menu Item/Feature Name: Starter Sites,Starter Sites,,nl,new,
WordPress Admin Menu Item/Feature Name: Elementor Kits,Elementor Kits,,nl,new,
WordPress Admin Menu Item/Feature Name: Block Patterns,Block Patterns,,nl,new,
Call to Action Button to upgrade to Pro Version,Upgrade to Pro,,nl,new,
Call to Action Button to upgrade to Pro Version (Shorter text),Upgrade Now,,nl,new,
Admin notice: Templatespare plugin needs update,The Templatespare plugin should be updated to the latest version,,nl,new,
Theme dashboard feature description,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,nl,new,
Admin notice: Blockspare plugin version required. %s is the required version number.,Blockspare plugin version should be more than %s.,,nl,new,
Theme dashboard feature description for Blockspare integration,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,nl,new,
Admin notice: Elespare plugin version required. %s is the required version number.,Elespare plugin version should be more than %s.,,nl,new,
Theme dashboard feature description for Elespare integration,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,nl,new,
Confirmation prompt before plugin installation,Are you sure you want to install this plugin?,,nl,new,
Button label to install a plugin,Install Now,,nl,new,
Button label to activate a plugin,Activate,,nl,new,
Status label: Plugin is activated,Activated,,nl,new,
Button/Link to access Starter Sites,Get Starter Sites,,nl,new,
Button label: Start setup process,Get Started,,nl,new,
Description for the 'Get Started' action,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,nl,new,
"Prefix before an author's name (e.g., 'Plugin By [Author]')",By,,nl,new,
Button/Link text: View more details,More Details,,nl,new,
Welcome heading in an admin notice,"👋 Welcome, and Thank You!",,nl,new,
Welcome message after theme activation. %s is the theme name.,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,nl,new,
Section heading in a setup notice,🚀 Start With One Click,,nl,new,
Description for the one-click starter sites feature,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,nl,new,
Button/Link to view all demo sites,View Demos,,nl,new,
Link to the theme's admin dashboard page,Theme dashboard,,nl,new,
Section heading in a support notice,🤝 We're Here for You,,nl,new,
Support notice encouraging phrase,Whether you're just starting or customizing your site.,,nl,new,
Link to theme documentation,Documentation,,nl,new,
Link to video tutorials,Video Tutorials,,nl,new,
Link to support/helpdesk,Support,,nl,new,
Link to WordPress review page to rate the theme,⭐ Rate This Theme,,nl,new,
Error message when user lacks plugin installation permissions,"Sorry, you are not allowed to install plugins on this site.",,nl,new,
Error message when nonce verification fails (security check),"Error - unable to verify nonce, please try again.",,nl,new,
Error message when user lacks plugin activation permissions,"Sorry, you are not allowed to activate plugins on this site.",,nl,new,
Comments section heading for one comment,One thought on &ldquo;%1$s&rdquo;,,nl,new,
