msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews Pro,,fr,new,unchanged_like
,https://afthemes.com/products/covernews-pro/,,fr,new,unchanged_like
,"CoverNews Pro is a clean and elegant WordPress theme that is perfect for online blog and magazine. With the help of live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Gutenberg and RTL language support along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are six demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews-pro/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews-pro/",,fr,new,
,AF themes,,fr,new,
,https://www.afthemes.com/,,fr,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,fr,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fr,new,
,Dashboard,,fr,new,
,Customize,,fr,new,
,Ads Settings,,fr,new,
,Starter Sites,,fr,new,
,Block Patterns,,fr,new,
,Elementor Kits,,fr,new,
,Support,,fr,new,
,Master Bundle Plan,,fr,new,
,Security check failed,,fr,new,
,Ads settings saved.,,fr,new,
,Global Ads Placement,,fr,new,
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,fr,new,
,Header Ad,,fr,new,
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,fr,new,
,Before Content,,fr,new,
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,fr,new,
,After Content,,fr,new,
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,fr,new,
,Before First Paragraph,,fr,new,
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,fr,new,
,After Third Paragraph,,fr,new,
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,fr,new,
,After Post Content,,fr,new,
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,fr,new,
,Sidebar Ad,,fr,new,
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,fr,new,
,Footer Ad,,fr,new,
