msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews Pro,,ru,new,
,https://afthemes.com/products/covernews-pro/,,ru,new,unchanged_like
,"CoverNews Pro is a clean and elegant WordPress theme that is perfect for online blog and magazine. With the help of live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Gutenberg and RTL language support along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are six demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews-pro/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews-pro/",,ru,new,
,AF themes,,ru,new,
,https://www.afthemes.com/,,ru,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,ru,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,ru,new,
,Dashboard,,ru,new,
,Customize,,ru,new,
,Ads Settings,,ru,new,
,Starter Sites,,ru,new,
,Block Patterns,,ru,new,
,Elementor Kits,,ru,new,
,Support,,ru,new,
,Master Bundle Plan,,ru,new,
,Security check failed,,ru,new,
,Ads settings saved.,,ru,new,
,Global Ads Placement,,ru,new,
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,ru,new,
,Header Ad,,ru,new,
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,ru,new,
,Before Content,,ru,new,
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,ru,new,
,After Content,,ru,new,
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,ru,new,
,Before First Paragraph,,ru,new,
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,ru,new,
,After Third Paragraph,,ru,new,
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,ru,new,
,After Post Content,,ru,new,
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,ru,new,
,Sidebar Ad,,ru,new,
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,ru,new,
,Footer Ad,,ru,new,
,Displayed at the bottom of the site above footer widgets. Rotating ads supported using <!--next-->.,,ru,new,
,Archive / Blog Ads,,ru,new,
,Before Post List,,ru,new,
,Shown before posts in blog or archive pages. Use <!--next--> to rotate multiple ads.,,ru,new,
,After Post List,,ru,new,
,Shown after posts in archive or blog listings. Supports ad rotation using <!--next--> tag.,,ru,new,
,Between Posts,,ru,new,
,Manually inserted between posts in archive loop using hooks/snippets. Rotate with <!--next--> if needed.,,ru,new,
,Save Ads Settings,,ru,new,
,Helpful YouTube Videos,,ru,new,
,Launch Your News Website Quickly,,ru,new,
,Use our free accessible theme to build a news site without coding.,,ru,new,
,Multi-Author Collaboration,,ru,new,
,Learn how to manage multiple authors smoothly with our plugin.,,ru,new,
,Import Gutenberg Patterns,,ru,new,
,Easily import templates and patterns for consistent layouts.,,ru,new,
,Elementor Tutorial for Beginners,,ru,new,
,Build a professional news site fast with no coding needed.,,ru,new,
,Multilingual Translation Guide,,ru,new,
,Step-by-step guide to translate your site into multiple languages.,,ru,new,
,The Templatespare plugin should be updated to the latest version,,ru,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,ru,new,
,Blockspare plugin version should be more than %s.,,ru,new,
,"One-click Import, No Coding Hassle!",,ru,new,
,Elespare plugin version should be more than %s.,,ru,new,
,Are you sure you want to install this plugin?,,ru,new,
,Install Now,,ru,new,
,Activate,,ru,new,
,Activated,,ru,new,
,Get Starter Sites,,ru,new,
,Get Started,,ru,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,ru,new,
,By,,ru,new,
,More Details,,ru,new,
,"The ""Get Started"" action will install/activate the Templatespare  plugin for Starter Sites and Templates.",,ru,new,
,Howdy!,,ru,new,
