msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,fr,unchanged,
,https://afthemes.com/products/darknews/,,fr,unchanged,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,fr,unchanged,
,AF themes,,fr,unchanged,
,https://www.afthemes.com/,,fr,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,fr,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,fr,unchanged,
,Dashboard,,fr,unchanged,
,Customize,,fr,unchanged,
,Starter Sites,,fr,unchanged,
,Elementor Kits,,fr,unchanged,
,Block Patterns,,fr,unchanged,
,Upgrade to Pro,,fr,unchanged,
,Upgrade Now,,fr,unchanged,
,The Templatespare plugin should be updated to the latest version,,fr,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,fr,unchanged,
,Blockspare plugin version should be more than %s.,,fr,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,fr,unchanged,
,Elespare plugin version should be more than %s.,,fr,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,fr,unchanged,
,Are you sure you want to install this plugin?,,fr,unchanged,
,Install Now,,fr,unchanged,
,Activate,,fr,unchanged,
,Activated,,fr,unchanged,
,Get Starter Sites,,fr,unchanged,
,Get Started,,fr,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,fr,unchanged,
,By,,fr,unchanged,
,More Details,,fr,unchanged,
,"👋 Welcome, and Thank You!",,fr,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,fr,unchanged,
,🚀 Start With One Click,,fr,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,fr,unchanged,
,View Demos,,fr,unchanged,
,Theme dashboard,,fr,unchanged,
,🤝 We're Here for You,,fr,unchanged,
,Whether you're just starting or customizing your site.,,fr,unchanged,
,Documentation,,fr,unchanged,unchanged_like
,Videos,,fr,unchanged,
,Support,,fr,unchanged,
,⭐ Rate This Theme,,fr,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,fr,unchanged,
,"Error - unable to verify nonce, please try again.",,fr,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,fr,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,fr,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,fr,unchanged,
,Comments are closed.,,fr,unchanged,
,%1$s by %2$s.,,fr,unchanged,
,Primary Menu,,fr,unchanged,
,Social Menu,,fr,unchanged,
,Footer Menu,,fr,unchanged,
%s font: on or off,on,,fr,unchanged,
,Skip to content,,fr,unchanged,
,-- Select --,,fr,unchanged,
,Watch Online,,fr,unchanged,
,Popular Tags,,fr,unchanged,
,Breaking News,,fr,unchanged,
,Youtube video Section,,fr,unchanged,
,Express Posts Section,,fr,unchanged,
,Express Posts 1,,fr,unchanged,
,Express Posts 2,,fr,unchanged,
,Posts List Section,,fr,unchanged,
,Posts List %d,,fr,unchanged,
,Posts Carousel,,fr,unchanged,
,Latest,,fr,unchanged,
,Popular,,fr,unchanged,
,Trending,,fr,unchanged,
,Editor's Picks,,fr,unchanged,
,Trending Story,,fr,unchanged,
,Featured Posts,,fr,unchanged,
,Featured Categories,,fr,unchanged,
,Featured Pages,,fr,unchanged,
,Custom Options,,fr,unchanged,
,Post list Section Title %d,,fr,unchanged,
,View More,,fr,unchanged,
,Read More,,fr,unchanged,
,Trending Now,,fr,unchanged,
,Connect with Us,,fr,unchanged,
,Instagram,,fr,unchanged,unchanged_like
,Popular News,,fr,unchanged,
,Related Stories,,fr,unchanged,
,You may have missed,,fr,unchanged,
,Copyright &copy; All rights reserved.,,fr,unchanged,unchanged_like
,Body Background Color (Dark Mode),,fr,unchanged,
,Site Title Size,,fr,unchanged,
,Site Title/Tagline Color,,fr,unchanged,
,Header Image Mode,,fr,unchanged,
,Image visibility may vary as per the mode,,fr,unchanged,
,Set as Background,,fr,unchanged,
,Show Full Image,,fr,unchanged,
,Disable Image Tint/Overlay,,fr,unchanged,
,DarkNews Pro,,fr,unchanged,unchanged_like
,Fonts & Typography,,fr,unchanged,
,Font Family Section,,fr,unchanged,
,Site Title Font,,fr,unchanged,
,Primary Font,,fr,unchanged,
,Secondary Font,,fr,unchanged,
,Site Color Mode,,fr,unchanged,
,Dark,,fr,unchanged,
,Light,,fr,unchanged,
,Body Background Color (Light Mode) will be applied for this mode.,,fr,unchanged,
,Body Background Color (Light Mode),,fr,unchanged,
,Secondary Color,,fr,unchanged,
,Main Banner Options,,fr,unchanged,
,Main Banner,,fr,unchanged,
,Enable Main Banner Section,,fr,unchanged,
,Main Banner Background Image,,fr,unchanged,
,Recommended Size %1$s px X %2$s px,,fr,unchanged,
,Select Main Banner Order,,fr,unchanged,
,Order 1,,fr,unchanged,
,Order 2,,fr,unchanged,
,Order 3,,fr,unchanged,
,Main News Section ,,fr,unchanged,
,Filter Posts By,,fr,unchanged,
,Category,,fr,unchanged,
,Tag,,fr,unchanged,
,Select Category,,fr,unchanged,
,Select category to be shown on main slider section,,fr,unchanged,
,Select Tag,,fr,unchanged,
,Select tag to be shown on main slider section,,fr,unchanged,
,Editor's Picks Section,,fr,unchanged,
,Latest Section,,fr,unchanged,
,Section Title ,,fr,unchanged,
,Select,,fr,unchanged,
,Popular Section,,fr,unchanged,
,Comment Count,,fr,unchanged,
,Enable Popular Tags,,fr,unchanged,
,Enable Breaking News,,fr,unchanged,
,Breaking Posts Category,,fr,unchanged,
,Select category to be shown on breaking news ,,fr,unchanged,
,Frontpage Options,,fr,unchanged,
,Enable Featured Post Section,,fr,unchanged,
,Select Category ,,fr,unchanged,
,Select category to be shown on featured section ,,fr,unchanged,
,Posts List,,fr,unchanged,
,Enable Post List Section,,fr,unchanged,
,Section %d,,fr,unchanged,unchanged_like
,Section Title,,fr,unchanged,
,Frontpage Layout Settings,,fr,unchanged,
,Frontpage Content Display,,fr,unchanged,
,Select frontpage content display,,fr,unchanged,
,Frontpage Widgets,,fr,unchanged,
,Page Contents & Frontpage Widgets,,fr,unchanged,
,Frontpage Content Alignment,,fr,unchanged,
,Select frontpage content alignment,,fr,unchanged,
,Home Content - Home Sidebar,,fr,unchanged,
,Home Sidebar - Home Content,,fr,unchanged,
,Only Home Content,,fr,unchanged,
,Header Options,,fr,unchanged,
,Top Header Section,,fr,unchanged,
,Show Top Header,,fr,unchanged,
,Show Date,,fr,unchanged,
,Show Social Menu,,fr,unchanged,
,Header Advertisement,,fr,unchanged,
,Header Section Advertisement,,fr,unchanged,
,URL Link,,fr,unchanged,
,Theme Options,,fr,unchanged,
,Enable Box's Top/Bottom Gaps,,fr,unchanged,
,Breadcrumb Options,,fr,unchanged,
,Show breadcrumbs,,fr,unchanged,
,Select Breadcrumbs,,fr,unchanged,
,Please ensure that you have enabled the plugin's breadcrumbs before choosing other than Default,,fr,unchanged,
,Default,,fr,unchanged,
,Yoast SEO,,fr,unchanged,unchanged_like
,Rank Math,,fr,unchanged,
,NavXT,,fr,unchanged,unchanged_like
,Global Settings,,fr,unchanged,
,Enable Preloader,,fr,unchanged,
,Site Layout Option,,fr,unchanged,
,Boxed,,fr,unchanged,
,Wide,,fr,unchanged,
,Global Content Alignment,,fr,unchanged,
,Content - Primary sidebar,,fr,unchanged,
,Primary sidebar - Content,,fr,unchanged,
,Full width content,,fr,unchanged,
,Single Content Mode,,fr,unchanged,
,Spacious,,fr,unchanged,
,Scroll to Top Position,,fr,unchanged,
,Right,,fr,unchanged,
,Left,,fr,unchanged,
,None,,fr,unchanged,
,Categories Settings,,fr,unchanged,
,Post Categories,,fr,unchanged,
,Show,,fr,unchanged,
,Hide,,fr,unchanged,
,Categories to be displayed,,fr,unchanged,
,Show All,,fr,unchanged,
,Top One Category,,fr,unchanged,
,Number of Categories,,fr,unchanged,
,Author and Date Settings,,fr,unchanged,
,For Spotlight Posts,,fr,unchanged,
,Show Date and Author,,fr,unchanged,
,Hide All,,fr,unchanged,
,For Small Grid,,fr,unchanged,
,For List,,fr,unchanged,
,Author Icon/Gravatar,,fr,unchanged,
,Show Gravatar,,fr,unchanged,
,Show Icon,,fr,unchanged,
,Date Format,,fr,unchanged,
,WordPress Default Date Format,,fr,unchanged,
,Ago Date Format,,fr,unchanged,
,Minutes Read Count,,fr,unchanged,
,Excerpt Settings,,fr,unchanged,
,Global Excerpt Length,,fr,unchanged,
,Global Excerpt Read More,,fr,unchanged,
,Custom Menu Section,,fr,unchanged,
,Enable Custom Menu Section,,fr,unchanged,
,Title,,fr,unchanged,
,Link,,fr,unchanged,
,Single Post,,fr,unchanged,
,Show Featured Image,,fr,unchanged,
,Related Posts Settings,,fr,unchanged,
,Enable Related Posts,,fr,unchanged,
,Archive Settings,,fr,unchanged,
,Disable Main Banner on Blog,,fr,unchanged,
,Archive layout,,fr,unchanged,
,Select layout for archive,,fr,unchanged,
,Grid,,fr,unchanged,
,Full,,fr,unchanged,
,Make First Post Full,,fr,unchanged,
,Grid Column Layout,,fr,unchanged,
,Select column for archive grid,,fr,unchanged,
,Two Column,,fr,unchanged,
,Three Column,,fr,unchanged,
,Select Full Layout,,fr,unchanged,
,Select full layout for archive,,fr,unchanged,
,Posts Title After Image,,fr,unchanged,
,Posts Title Before Image,,fr,unchanged,
,Content View,,fr,unchanged,
,Select content view for archive,,fr,unchanged,
,Post Excerpt,,fr,unchanged,
,Full Content,,fr,unchanged,
,Sidebar Settings,,fr,unchanged,
,Make Sidebar Sticky,,fr,unchanged,
,Sidebar Sticky Position,,fr,unchanged,
,Top,,fr,unchanged,
,Bottom,,fr,unchanged,
,You May Have Missed,,fr,unchanged,
,Show Above Footer,,fr,unchanged,
,Posts Section Title,,fr,unchanged,
,Footer,,fr,unchanged,
,Footer Background Image,,fr,unchanged,
,Copyright Text,,fr,unchanged,
,Hide footer Menu Section,,fr,unchanged,
,Pages:,,fr,unchanged,unchanged_like
,Layout Options,,fr,unchanged,
,Content Options,,fr,unchanged,
,Set as global layout,,fr,unchanged,
,Please go to Customize>Themes Options for Single Post/Page.,,fr,unchanged,
,Sidebar Options,,fr,unchanged,
,Content - Primary Sidebar,,fr,unchanged,
,Primary Sidebar - Content,,fr,unchanged,
,No Sidebar,,fr,unchanged,
,Please go to Customize>Frontpage Options for Homepage.,,fr,unchanged,
,Category Color 1,,fr,unchanged,
,Category Color 2,,fr,unchanged,
,Category Color 3,,fr,unchanged,
,Color Class,,fr,unchanged,
,"Select category color class. You can set appropriate categories color on ""Categories"" section of the theme customizer.",,fr,unchanged,
,Templatespare,,fr,unchanged,
,Elespare,,fr,unchanged,unchanged_like
,Blockspare,,fr,unchanged,
,WP Post Author,,fr,unchanged,
,Free Live Chat using 3CX,,fr,unchanged,
,"Howdy, %1$s! We've noticed that you've been using %2$s for some time now, we hope you are loving it! We would appreciate it if you can %3$sgive us a 5 star rating on WordPress.org%4$s! We'll continue to develop exciting new features for free in the future by sharing the love!",,fr,unchanged,
,Sure thing,,fr,unchanged,
,Remind me later,,fr,unchanged,
,I've already done.,,fr,unchanged,
,Got any support queries?,,fr,unchanged,
,Previous,,fr,unchanged,
,Next,,fr,unchanged,
,%s min read,,fr,unchanged,
,ago,,fr,unchanged,
,"Edit <span class=""screen-reader-text"">%s</span>",,fr,unchanged,
,Action failed. Please refresh the page and retry.,,fr,unchanged,
,Cheatin&#8217; huh?,,fr,unchanged,
,%1$s 🎁 Hope you're loving our free %2$s theme! Dive into the festive spirit with an exclusive gift: %4$s premium features! Use code %3$s at checkout. Wishing you a season filled with joyous holidays and even happier savings! 🎄✨,,fr,unchanged,
,Claim Your Discount,,fr,unchanged,
,Power Bundle,,fr,unchanged,
,All Themes Plan,,fr,unchanged,
,Maybe Later,,fr,unchanged,
,Have Queries?,,fr,unchanged,
,Displays author info.,,fr,unchanged,
,AFTDN Author Info,,fr,unchanged,
,About Author,,fr,unchanged,
,Profile image,,fr,unchanged,
,Name,,fr,unchanged,
,Descriptions,,fr,unchanged,unchanged_like
,Facebook,,fr,unchanged,unchanged_like
,Twitter,,fr,unchanged,
,Displays Express Posts from selected categories.,,fr,unchanged,
,AFTDN Express Posts List,,fr,unchanged,
,Displays posts carousel from selected category.,,fr,unchanged,
,AFTDN Posts Carousel,,fr,unchanged,
,Select category,,fr,unchanged,
,Displays grid from selected categories.,,fr,unchanged,
,AFTDN Post Double Columns,,fr,unchanged,
,Select Category 1,,fr,unchanged,
,Select Category 2,,fr,unchanged,
,AFTDN Post List,,fr,unchanged,
,Displays posts single column from selected categories.,,fr,unchanged,
,AFTDN Post Single Column,,fr,unchanged,
,Displays posts slider from selected category.,,fr,unchanged,
,AFTDN Posts Slider,,fr,unchanged,
,Displays social contacts lists from selected settings.,,fr,unchanged,
,AFTDN Social Contacts,,fr,unchanged,
,Social menu is not set. You need to create menu and assign it to Social Menu on Menu Settings.,,fr,unchanged,
,AFTDN Trending News,,fr,unchanged,
,Upload,,fr,unchanged,
,Select Image,,fr,unchanged,
,Choose Image,,fr,unchanged,
Remove,X,,fr,unchanged,unchanged_like
,Recent,,fr,unchanged,
,Main Sidebar,,fr,unchanged,
,Add widgets for main sidebar.,,fr,unchanged,
,Front-page Content Section,,fr,unchanged,
,Add widgets to front-page contents section.,,fr,unchanged,
,Front-page Sidebar Section,,fr,unchanged,
,Add widgets to front-page sidebar section.,,fr,unchanged,
,Banner Ad Section,,fr,unchanged,
,Add widgets for frontpage banner section advertisement.,,fr,unchanged,
,Off Canvas,,fr,unchanged,
,Add widgets for off-canvas section.,,fr,unchanged,
,Below Featured Section,,fr,unchanged,
,Add widgets for below featured section.,,fr,unchanged,
,Footer First Section,,fr,unchanged,
,Displays items on footer first column.,,fr,unchanged,
,Footer Second Section,,fr,unchanged,
,Displays items on footer second column.,,fr,unchanged,
,Footer Third Section,,fr,unchanged,
,Displays items on footer third column.,,fr,unchanged,
,View your shopping cart,,fr,unchanged,
,%d item,%d items,fr,unchanged,
,%d item,%d items,fr,unchanged,
,Browse:,,fr,unchanged,
breadcrumbs aria label,Breadcrumbs,,fr,unchanged,
,Home,,fr,unchanged,
,404 Not Found,,fr,unchanged,
,Archives,,fr,unchanged,unchanged_like
,Search results for: %s,,fr,unchanged,
,Page %s,,fr,unchanged,unchanged_like
,Comment Page %s,,fr,unchanged,
,Minute %s,,fr,unchanged,
,Week %s,,fr,unchanged,
minute and hour archives time format,g:i a,,fr,unchanged,
minute archives time format,i,,fr,unchanged,
hour archives time format,g a,,fr,unchanged,
yearly archives date format,Y,,fr,unchanged,
monthly archives date format,F,,fr,unchanged,unchanged_like
daily archives date format,j,,fr,unchanged,unchanged_like
weekly archives date format,W,,fr,unchanged,unchanged_like
,Welcome! Thank you for choosing %1$s. To fully take advantage of the best our theme can offer please make sure you visit theme details page.,,fr,unchanged,
,Get started with %1$s,,fr,unchanged,
,Dismiss this notice,,fr,unchanged,
,%s() method does not exist.,,fr,unchanged,
,Manage Plugins,,fr,unchanged,
,Product Features,,fr,unchanged,
,Free,,fr,unchanged,
,Premium,,fr,unchanged,
,"Howdy %1$s, we would like to thank you for installing and activating %2$s theme for your precious site. All of the features provided by the theme are now ready to use; Here, we have gathered all of the essential details and helpful links for you and your better experience with %2$s. Once again, Thanks for using our theme!",,fr,unchanged,
,Getting Started,,fr,unchanged,
,Useful Plugins,,fr,unchanged,
,Demo Content,,fr,unchanged,
,Theme Details,,fr,unchanged,
,View Demo,,fr,unchanged,
,View Documentation,,fr,unchanged,
,Rate This Theme,,fr,unchanged,
,Theme Documentation,,fr,unchanged,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,fr,unchanged,
,Static Front Page,,fr,unchanged,
,"To achieve custom home page other than blog listing, you need to create and set static front page.",,fr,unchanged,
,Theme uses Customizer API for theme options. Using the Customizer you can easily customize different aspects of the theme.,,fr,unchanged,
,Widgets,,fr,unchanged,unchanged_like
,Theme uses Wedgets API for widget options. Using the Widgets you can easily customize different aspects of the theme.,,fr,unchanged,
,"To import sample demo content, %1$s plugin should be installed and activated. After plugin is activated, visit AF Companion Dashboard from admin menu.",,fr,unchanged,
,Theme Preview,,fr,unchanged,
,You can check out the theme demos for reference to find out what you can achieve using the theme and how it can be customized.,,fr,unchanged,
,Contact Support,,fr,unchanged,
,Got theme support question or found bug or got some feedbacks? Best place to ask your query is the dedicated Support forum for the theme.,,fr,unchanged,
,Child Theme,,fr,unchanged,
,"For advanced theme customization, it is recommended to use child theme rather than modifying the theme file itself. Using this approach, you wont lose the customization after theme update.",,fr,unchanged,
,Learn More,,fr,unchanged,
,"Theme supports some helpful WordPress plugins to enhance your site. But, please enable only those plugins which you need in your site. For example, enable WooCommerce only if you are using e-commerce.",,fr,unchanged,
,"To import demo content for this theme, %1$s plugin is needed. Please make sure plugin is installed and activated. After plugin is activated, you will see AF Companion Dashboard from admin menu.",,fr,unchanged,
,AF Companion,,fr,unchanged,
,If you want more advanced features then you can upgrade to the premium version of the theme.,,fr,unchanged,
,Install Required Plugins,,fr,unchanged,
,Install Plugins,,fr,unchanged,
,Installing Plugin: %s,,fr,unchanged,
,Updating Plugin: %s,,fr,unchanged,
,Something went wrong with the plugin API.,,fr,unchanged,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,fr,unchanged,
,This theme requires the following plugin: %1$s.,This theme requires the following plugins: %1$s.,fr,unchanged,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,fr,unchanged,
,This theme recommends the following plugin: %1$s.,This theme recommends the following plugins: %1$s.,fr,unchanged,
,The following plugin needs to be updated to its latest version to ensure maximum compatibility with this theme: %1$s.,The following plugins need to be updated to their latest version to ensure maximum compatibility with this theme: %1$s.,fr,unchanged,
,The following plugin needs to be updated to its latest version to ensure maximum compatibility with this theme: %1$s.,The following plugins need to be updated to their latest version to ensure maximum compatibility with this theme: %1$s.,fr,unchanged,
,There is an update available for: %1$s.,There are updates available for the following plugins: %1$s.,fr,unchanged,
,There is an update available for: %1$s.,There are updates available for the following plugins: %1$s.,fr,unchanged,
,The following required plugin is currently inactive: %1$s.,The following required plugins are currently inactive: %1$s.,fr,unchanged,
,The following required plugin is currently inactive: %1$s.,The following required plugins are currently inactive: %1$s.,fr,unchanged,
,The following recommended plugin is currently inactive: %1$s.,The following recommended plugins are currently inactive: %1$s.,fr,unchanged,
,The following recommended plugin is currently inactive: %1$s.,The following recommended plugins are currently inactive: %1$s.,fr,unchanged,
,Begin installing plugin,Begin installing plugins,fr,unchanged,
