msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews Pro,,es,new,
,https://afthemes.com/products/covernews-pro/,,es,new,unchanged_like
,"CoverNews Pro is a clean and elegant WordPress theme that is perfect for online blog and magazine. With the help of live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Gutenberg and RTL language support along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are six demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews-pro/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews-pro/",,es,new,
,AF themes,,es,new,
,https://www.afthemes.com/,,es,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,es,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,es,new,
,Dashboard,,es,new,
,Customize,,es,new,
,Ads Settings,,es,new,
,Starter Sites,,es,new,
,Block Patterns,,es,new,
,Elementor Kits,,es,new,
,Support,,es,new,
,Master Bundle Plan,,es,new,
,Security check failed,,es,new,
,Ads settings saved.,,es,new,
,Global Ads Placement,,es,new,
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,es,new,
,Header Ad,,es,new,
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,es,new,
,Before Content,,es,new,
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,es,new,
,After Content,,es,new,
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,es,new,
,Before First Paragraph,,es,new,
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,es,new,
,After Third Paragraph,,es,new,
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,es,new,
,After Post Content,,es,new,
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,es,new,
,Sidebar Ad,,es,new,
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,es,new,
,Footer Ad,,es,new,
,Displayed at the bottom of the site above footer widgets. Rotating ads supported using <!--next-->.,,es,new,
,Archive / Blog Ads,,es,new,
,Before Post List,,es,new,
,Shown before posts in blog or archive pages. Use <!--next--> to rotate multiple ads.,,es,new,
,After Post List,,es,new,
,Shown after posts in archive or blog listings. Supports ad rotation using <!--next--> tag.,,es,new,
,Between Posts,,es,new,
,Manually inserted between posts in archive loop using hooks/snippets. Rotate with <!--next--> if needed.,,es,new,
,Save Ads Settings,,es,new,
,Helpful YouTube Videos,,es,new,
,Launch Your News Website Quickly,,es,new,
,Use our free accessible theme to build a news site without coding.,,es,new,
,Multi-Author Collaboration,,es,new,
,Learn how to manage multiple authors smoothly with our plugin.,,es,new,
,Import Gutenberg Patterns,,es,new,
,Easily import templates and patterns for consistent layouts.,,es,new,
,Elementor Tutorial for Beginners,,es,new,
,Build a professional news site fast with no coding needed.,,es,new,
,Multilingual Translation Guide,,es,new,
,Step-by-step guide to translate your site into multiple languages.,,es,new,
,The Templatespare plugin should be updated to the latest version,,es,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,es,new,
,Blockspare plugin version should be more than %s.,,es,new,
,"One-click Import, No Coding Hassle!",,es,new,
,Elespare plugin version should be more than %s.,,es,new,
,Are you sure you want to install this plugin?,,es,new,
,Install Now,,es,new,
,Activate,,es,new,
,Activated,,es,new,
,Get Starter Sites,,es,new,
,Get Started,,es,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,es,new,
,By,,es,new,
,More Details,,es,new,
,"The ""Get Started"" action will install/activate the Templatespare  plugin for Starter Sites and Templates.",,es,new,
,Howdy!,,es,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,es,new,
,Explore Our Pre-Built Starter Websites!,,es,new,
