msgctxt,msgid,msgid_plural,target_lang,status,issues
Theme Name,ReviewNews,,hi,new,
Theme URL/Link,https://afthemes.com/products/reviewnews/,,hi,new,unchanged_like
Theme Description for WordPress repository/dashboard,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,hi,new,
Theme Author Name,AF themes,,hi,new,
Theme Author URL,https://www.afthemes.com/,,hi,new,unchanged_like
Title on 404 Error Page,Oops! That page can&rsquo;t be found.,,hi,new,
Text on 404 Error Page,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,hi,new,
WordPress Admin Menu Item: Dashboard,Dashboard,,hi,new,
WordPress Admin Menu Item: Customize (Customizer),Customize,,hi,new,
WordPress Admin Menu Item/Feature Name: Header Builder,Header Builder,,hi,new,
WordPress Admin Menu Item/Feature Name: Footer Builder,Footer Builder,,hi,new,
WordPress Admin Menu Item/Feature Name: Starter Sites,Starter Sites,,hi,new,
WordPress Admin Menu Item/Feature Name: Elementor Kits,Elementor Kits,,hi,new,
WordPress Admin Menu Item/Feature Name: Block Patterns,Block Patterns,,hi,new,
Call to Action Button to upgrade to Pro Version,Upgrade to Pro,,hi,new,
Call to Action Button to upgrade to Pro Version (Shorter text),Upgrade Now,,hi,new,
Admin notice: Templatespare plugin needs update,The Templatespare plugin should be updated to the latest version,,hi,new,
Theme dashboard feature description,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,hi,new,
Admin notice: Blockspare plugin version required. %s is the required version number.,Blockspare plugin version should be more than %s.,,hi,new,
Theme dashboard feature description for Blockspare integration,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,hi,new,
Admin notice: Elespare plugin version required. %s is the required version number.,Elespare plugin version should be more than %s.,,hi,new,
Theme dashboard feature description for Elespare integration,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,hi,new,
Confirmation prompt before plugin installation,Are you sure you want to install this plugin?,,hi,new,
Button label to install a plugin,Install Now,,hi,new,
Button label to activate a plugin,Activate,,hi,new,
Status label: Plugin is activated,Activated,,hi,new,
Button/Link to access Starter Sites,Get Starter Sites,,hi,new,
Button label: Start setup process,Get Started,,hi,new,
