msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,it,unchanged,unchanged_like
,https://afthemes.com/products/darknews/,,it,unchanged,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,it,unchanged,
,AF themes,,it,unchanged,
,https://www.afthemes.com/,,it,unchanged,unchanged_like
,Oops! That page can&rsquo;t be found.,,it,unchanged,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,it,unchanged,
,Dashboard,,it,unchanged,
,Customize,,it,unchanged,
,Starter Sites,,it,unchanged,
,Elementor Kits,,it,unchanged,
,Block Patterns,,it,unchanged,
,Upgrade to Pro,,it,unchanged,
,Upgrade Now,,it,unchanged,
,The Templatespare plugin should be updated to the latest version,,it,unchanged,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,it,unchanged,
,Blockspare plugin version should be more than %s.,,it,unchanged,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,it,unchanged,
,Elespare plugin version should be more than %s.,,it,unchanged,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,it,unchanged,
,Are you sure you want to install this plugin?,,it,unchanged,
,Install Now,,it,unchanged,
,Activate,,it,unchanged,
,Activated,,it,unchanged,
,Get Starter Sites,,it,unchanged,
,Get Started,,it,unchanged,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,it,unchanged,
,By,,it,unchanged,
,More Details,,it,unchanged,
,"👋 Welcome, and Thank You!",,it,unchanged,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,it,unchanged,
,🚀 Start With One Click,,it,unchanged,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,it,unchanged,
,View Demos,,it,unchanged,
,Theme dashboard,,it,unchanged,
,🤝 We're Here for You,,it,unchanged,
,Whether you're just starting or customizing your site.,,it,unchanged,
,Documentation,,it,unchanged,
,Videos,,it,unchanged,
,Support,,it,unchanged,
,⭐ Rate This Theme,,it,unchanged,
,"Sorry, you are not allowed to install plugins on this site.",,it,unchanged,
,"Error - unable to verify nonce, please try again.",,it,unchanged,
,"Sorry, you are not allowed to activate plugins on this site.",,it,unchanged,
,One thought on &ldquo;%1$s&rdquo;,,it,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,unchanged,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,it,unchanged,
,Comments are closed.,,it,unchanged,
,%1$s by %2$s.,,it,unchanged,
,Primary Menu,,it,unchanged,
,Social Menu,,it,unchanged,
,Footer Menu,,it,unchanged,
%s font: on or off,on,,it,unchanged,
,Skip to content,,it,unchanged,
,-- Select --,,it,unchanged,
,Watch Online,,it,unchanged,
,Popular Tags,,it,unchanged,
,Breaking News,,it,unchanged,
,Youtube video Section,,it,unchanged,
,Express Posts Section,,it,unchanged,
,Express Posts 1,,it,unchanged,
,Express Posts 2,,it,unchanged,
,Posts List Section,,it,unchanged,
,Posts List %d,,it,unchanged,
,Posts Carousel,,it,unchanged,
,Latest,,it,unchanged,
,Popular,,it,unchanged,
,Trending,,it,unchanged,
,Editor's Picks,,it,unchanged,
,Trending Story,,it,unchanged,
,Featured Posts,,it,unchanged,
,Featured Categories,,it,unchanged,
,Featured Pages,,it,unchanged,
,Custom Options,,it,unchanged,
,Post list Section Title %d,,it,unchanged,
,View More,,it,unchanged,
,Read More,,it,unchanged,
,Trending Now,,it,unchanged,
,Connect with Us,,it,unchanged,
,Instagram,,it,unchanged,unchanged_like
,Popular News,,it,unchanged,
,Related Stories,,it,unchanged,
,You may have missed,,it,unchanged,
,Copyright &copy; All rights reserved.,,it,unchanged,unchanged_like
,Body Background Color (Dark Mode),,it,unchanged,
,Site Title Size,,it,unchanged,
,Site Title/Tagline Color,,it,unchanged,
,Header Image Mode,,it,unchanged,
,Image visibility may vary as per the mode,,it,unchanged,
,Set as Background,,it,unchanged,
,Show Full Image,,it,unchanged,
,Disable Image Tint/Overlay,,it,unchanged,
,DarkNews Pro,,it,unchanged,unchanged_like
,Fonts & Typography,,it,unchanged,
,Font Family Section,,it,unchanged,
,Site Title Font,,it,unchanged,
,Primary Font,,it,unchanged,
,Secondary Font,,it,unchanged,
,Site Color Mode,,it,unchanged,
,Dark,,it,unchanged,
,Light,,it,unchanged,
,Body Background Color (Light Mode) will be applied for this mode.,,it,unchanged,
,Body Background Color (Light Mode),,it,unchanged,
,Secondary Color,,it,unchanged,
,Main Banner Options,,it,unchanged,
,Main Banner,,it,unchanged,
,Enable Main Banner Section,,it,unchanged,
,Main Banner Background Image,,it,unchanged,
,Recommended Size %1$s px X %2$s px,,it,unchanged,
,Select Main Banner Order,,it,unchanged,
,Order 1,,it,unchanged,
,Order 2,,it,unchanged,
,Order 3,,it,unchanged,
,Main News Section ,,it,unchanged,
,Filter Posts By,,it,unchanged,
,Category,,it,unchanged,
,Tag,,it,unchanged,
,Select Category,,it,unchanged,
,Select category to be shown on main slider section,,it,unchanged,
,Select Tag,,it,unchanged,
,Select tag to be shown on main slider section,,it,unchanged,
,Editor's Picks Section,,it,unchanged,
,Latest Section,,it,unchanged,
,Section Title ,,it,unchanged,
,Select,,it,unchanged,
,Popular Section,,it,unchanged,
,Comment Count,,it,unchanged,
,Enable Popular Tags,,it,unchanged,
,Enable Breaking News,,it,unchanged,
,Breaking Posts Category,,it,unchanged,
,Select category to be shown on breaking news ,,it,unchanged,
,Frontpage Options,,it,unchanged,
