msgctxt,msgid,msgid_plural,target_lang,status,issues
Theme Name,ReviewNews,,pt,new,
Theme URL/Link,https://afthemes.com/products/reviewnews/,,pt,new,unchanged_like
Theme Description for WordPress repository/dashboard,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,pt,new,
Theme Author Name,AF themes,,pt,new,
Theme Author URL,https://www.afthemes.com/,,pt,new,unchanged_like
Title on 404 Error Page,Oops! That page can&rsquo;t be found.,,pt,new,
Text on 404 Error Page,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pt,new,
WordPress Admin Menu Item: Dashboard,Dashboard,,pt,new,
WordPress Admin Menu Item: Customize (Customizer),Customize,,pt,new,
WordPress Admin Menu Item/Feature Name: Header Builder,Header Builder,,pt,new,
WordPress Admin Menu Item/Feature Name: Footer Builder,Footer Builder,,pt,new,
WordPress Admin Menu Item/Feature Name: Starter Sites,Starter Sites,,pt,new,
WordPress Admin Menu Item/Feature Name: Elementor Kits,Elementor Kits,,pt,new,
WordPress Admin Menu Item/Feature Name: Block Patterns,Block Patterns,,pt,new,
Call to Action Button to upgrade to Pro Version,Upgrade to Pro,,pt,new,
Call to Action Button to upgrade to Pro Version (Shorter text),Upgrade Now,,pt,new,
Admin notice: Templatespare plugin needs update,The Templatespare plugin should be updated to the latest version,,pt,new,
Theme dashboard feature description,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pt,new,
Admin notice: Blockspare plugin version required. %s is the required version number.,Blockspare plugin version should be more than %s.,,pt,new,
Theme dashboard feature description for Blockspare integration,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pt,new,
Admin notice: Elespare plugin version required. %s is the required version number.,Elespare plugin version should be more than %s.,,pt,new,
Theme dashboard feature description for Elespare integration,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pt,new,
Confirmation prompt before plugin installation,Are you sure you want to install this plugin?,,pt,new,
Button label to install a plugin,Install Now,,pt,new,
Button label to activate a plugin,Activate,,pt,new,
Status label: Plugin is activated,Activated,,pt,new,
Button/Link to access Starter Sites,Get Starter Sites,,pt,new,
Button label: Start setup process,Get Started,,pt,new,
Description for the 'Get Started' action,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pt,new,
"Prefix before an author's name (e.g., 'Plugin By [Author]')",By,,pt,new,
Button/Link text: View more details,More Details,,pt,new,
Welcome heading in an admin notice,"👋 Welcome, and Thank You!",,pt,new,
Welcome message after theme activation. %s is the theme name.,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pt,new,
Section heading in a setup notice,🚀 Start With One Click,,pt,new,
Description for the one-click starter sites feature,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pt,new,
Button/Link to view all demo sites,View Demos,,pt,new,
Link to the theme's admin dashboard page,Theme dashboard,,pt,new,
Section heading in a support notice,🤝 We're Here for You,,pt,new,
Support notice encouraging phrase,Whether you're just starting or customizing your site.,,pt,new,
Link to theme documentation,Documentation,,pt,new,
Link to video tutorials,Video Tutorials,,pt,new,
Link to support/helpdesk,Support,,pt,new,
Link to WordPress review page to rate the theme,⭐ Rate This Theme,,pt,new,
Error message when user lacks plugin installation permissions,"Sorry, you are not allowed to install plugins on this site.",,pt,new,
Error message when nonce verification fails (security check),"Error - unable to verify nonce, please try again.",,pt,new,
Error message when user lacks plugin activation permissions,"Sorry, you are not allowed to activate plugins on this site.",,pt,new,
Comments section heading for one comment,One thought on &ldquo;%1$s&rdquo;,,pt,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,new,
Message displayed when comments are disabled,Comments are closed.,,pt,new,
Copyright line in the footer of a website,%1$s by %2$s.,,pt,new,
Name of the WordPress Menu Location (Primary/Main Navigation),Primary Menu,,pt,new,
Name of the WordPress Menu Location (Social Icons Navigation),Social Menu,,pt,new,
Name of the WordPress Menu Location (Footer Navigation),Footer Menu,,pt,new,
Accessibility link text to skip navigation,Skip to content,,pt,new,
Accessibility text for the search icon/button,Open search form,,pt,new,
Instructional text in the Header/Footer Builder,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,pt,new,
Tooltip for the button that hides the builder panel,Hide builder panel,,pt,new,
Button text to hide the builder panel,Hide Builder,,pt,new,
"Tooltip for the device view controls (desktop, tablet, mobile)",Device view controls,,pt,new,
Title of the modal/panel to select a new element for the builder,Choose an Element,,pt,new,
Accessibility text for the button that closes the element choice modal,Close choose element modal,,pt,new,
Customizer panel title for Footer Layout,Footer Layout,,pt,new,
Description for the Header Builder in Customizer,Create dynamic header effortlessly with drag-and-drop builder.,,pt,new,
Title for the Header Builder Customizer panel,Header,,pt,new,
Description for the Footer Builder in Customizer,Create dynamic footer effortlessly with drag-and-drop builder.,,pt,new,
Title for the Footer Builder Customizer panel,Footer,,pt,new,
Customizer setting label to enable a builder. %s is either 'Header' or 'Footer'.,Enable %s Builder,,pt,new,
Button text in the Header/Footer Builder to add a new element,Add Element,,pt,new,
Button text in the Header/Footer Builder to remove an element,Remove Element,,pt,new,
Button text in the Header/Footer Builder to open element settings,Configure Element,,pt,new,
Device view selector label: Desktop,Desktop,,pt,new,
Heading for the panel containing an element's settings,Element Settings,,pt,new,
Accessibility text for the button to close the mobile/off-canvas menu,close Off-Canvas Navigation,,pt,new,
Element/Component Name for Site Title and Logo,Site & Logo,,pt,new,
Element/Component Label for Site Identity,Site Identity,,pt,new,
Instructional text: change Site Identity via another panel. %s is a link.,You can change Site Identity from %s.,,pt,new,
Element/Component Name for a Promotion banner or text,Promotion,,pt,new,
Element/Component Name for the Off-Canvas Toggle button,Off Canvas,,pt,new,
Element/Component Label for a widget area in the Off-Canvas panel,Off Canvas Widget Area,,pt,new,
Description for the Off Canvas Widget Area setting. %s is a link.,This widget area is used in the mobile off-canvas panel. %s,,pt,new,
Link text to manage widgets in the Customizer,Manage widgets,,pt,new,
Element/Component Name for the Primary Navigation Menu,Primary menu,,pt,new,
Label for a menu selection dropdown in Customizer,Select Menu,,pt,new,
Instructional text: change a Menu via the menu panel. %s is a link.,You can change Menu from menu panel. %s,,pt,new,
Link text to manage menus in the Customizer,Manage menu,,pt,new,
Element/Component Name for the current Date display,Date,,pt,new,
