msgctxt,msgid,msgid_plural,target_lang,status,issues
,CoverNews Pro,,pt,new,
,https://afthemes.com/products/covernews-pro/,,pt,new,unchanged_like
,"CoverNews Pro is a clean and elegant WordPress theme that is perfect for online blog and magazine. With the help of live customizer options and custom widgets, you can design your website as you like and preview the changes live. This theme is fully responsive that looks beautiful on all the screen sizes from small to large devices. As it includes many useful features that require to build an awesome looking website, you can implement the layout as a personal blog, modern news journals, fashion magazine, travel blogging & magazine, vibrant news sites and more. It is also compatible with Gutenberg and RTL language support along with WooCommerce plugin that helps you to integrate an online business with your blog easily. The theme is well optimized that helps to rank your website in the top of search engines and users will get an outstanding support from the team if there will be any difficulties while using the theme. There are six demos available in this theme so choose the one you like and start to build a website. See our demos: https://afthemes.com/products/covernews-pro/#aft-view-starter-sites Videos: https://www.youtube.com/@wpafthemes/ Docs: https://docs.afthemes.com/covernews-pro/",,pt,new,
,AF themes,,pt,new,
,https://www.afthemes.com/,,pt,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,pt,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pt,new,
,Dashboard,,pt,new,
,Customize,,pt,new,
,Ads Settings,,pt,new,
,Starter Sites,,pt,new,
,Block Patterns,,pt,new,
,Elementor Kits,,pt,new,
,Support,,pt,new,
,Master Bundle Plan,,pt,new,
,Security check failed,,pt,new,
,Ads settings saved.,,pt,new,
,Global Ads Placement,,pt,new,
,"💡 Tip: You can rotate multiple ads by separating them with <!--next-->. One ad will be shown randomly per page load. Works with HTML, JavaScript, and shortcodes.",,pt,new,
,Header Ad,,pt,new,
,"Add your HTML, JavaScript, or shortcode to display an ad at the very top of your site (header area).",,pt,new,
,Before Content,,pt,new,
,Ad before post content. Supports rotating multiple ads using <!--next-->.,,pt,new,
,After Content,,pt,new,
,Ad after post content. You can rotate multiple ads with <!--next--> separator.,,pt,new,
,Before First Paragraph,,pt,new,
,This ad appears after the first paragraph of single post content. Rotation supported via <!--next-->.,,pt,new,
,After Third Paragraph,,pt,new,
,Shown after the third paragraph in single post content. Supports rotating ads with <!--next-->.,,pt,new,
,After Post Content,,pt,new,
,"Displayed below post content, before comments or related posts. Rotation via <!--next--> supported.",,pt,new,
,Sidebar Ad,,pt,new,
,Shown in sidebar globally. You may use widgets for better control. Supports <!--next--> for rotating ads.,,pt,new,
,Footer Ad,,pt,new,
,Displayed at the bottom of the site above footer widgets. Rotating ads supported using <!--next-->.,,pt,new,
,Archive / Blog Ads,,pt,new,
,Before Post List,,pt,new,
,Shown before posts in blog or archive pages. Use <!--next--> to rotate multiple ads.,,pt,new,
,After Post List,,pt,new,
,Shown after posts in archive or blog listings. Supports ad rotation using <!--next--> tag.,,pt,new,
,Between Posts,,pt,new,
,Manually inserted between posts in archive loop using hooks/snippets. Rotate with <!--next--> if needed.,,pt,new,
,Save Ads Settings,,pt,new,
,Helpful YouTube Videos,,pt,new,
,Launch Your News Website Quickly,,pt,new,
,Use our free accessible theme to build a news site without coding.,,pt,new,
,Multi-Author Collaboration,,pt,new,
,Learn how to manage multiple authors smoothly with our plugin.,,pt,new,
,Import Gutenberg Patterns,,pt,new,
,Easily import templates and patterns for consistent layouts.,,pt,new,
,Elementor Tutorial for Beginners,,pt,new,
,Build a professional news site fast with no coding needed.,,pt,new,
,Multilingual Translation Guide,,pt,new,
,Step-by-step guide to translate your site into multiple languages.,,pt,new,
,The Templatespare plugin should be updated to the latest version,,pt,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pt,new,
,Blockspare plugin version should be more than %s.,,pt,new,
,"One-click Import, No Coding Hassle!",,pt,new,
,Elespare plugin version should be more than %s.,,pt,new,
,Are you sure you want to install this plugin?,,pt,new,
,Install Now,,pt,new,
,Activate,,pt,new,
,Activated,,pt,new,
,Get Starter Sites,,pt,new,
,Get Started,,pt,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pt,new,
,By,,pt,new,
,More Details,,pt,new,
,"The ""Get Started"" action will install/activate the Templatespare  plugin for Starter Sites and Templates.",,pt,new,
,Howdy!,,pt,new,
,%s is now installed and ready to use. We've assembled some links to get you started.,,pt,new,
,Explore Our Pre-Built Starter Websites!,,pt,new,
,"Let your imagination soar! Designed with User-Friendly features, incorporating the Latest Trends and SEO-Friendly Markups. We genuinely appreciate you choosing our theme!",,pt,new,
,Demos/product,,pt,new,
,Theme dashboard,,pt,new,
,Documentation,,pt,new,
,Please check our full documentation for detailed information on how to setup and customize the theme.,,pt,new,
,Docs,,pt,new,
,Videos,,pt,new,
,Blog,,pt,new,
,Rate This Theme,,pt,new,
,"Sorry, you are not allowed to install plugins on this site.",,pt,new,
,"Error - unable to verify nonce, please try again.",,pt,new,
,"Sorry, you are not allowed to activate plugins on this site.",,pt,new,
,One thought on &ldquo;%1$s&rdquo;,,pt,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pt,new,
,Comments are closed.,,pt,new,
,%1$s by %2$s.,,pt,new,
,Primary Menu,,pt,new,
,Top Menu,,pt,new,
,Social Menu,,pt,new,
,Footer Menu,,pt,new,
,Skip to content,,pt,new,
,All,,pt,new,
,Flash Story,,pt,new,
,Main Story,,pt,new,
,Editor's Picks,,pt,new,
,Trending Story,,pt,new,
,Latest,,pt,new,
,Popular,,pt,new,unchanged_like
,Hot News,,pt,new,
,Featured Story,,pt,new,
,Read More,,pt,new,
,More Stories,,pt,new,
,Subscribe To  Our Newsletter,,pt,new,
,You may have missed,,pt,new,
,Copyright &copy; {year} All rights reserved.,,pt,new,
,Site Title Size,,pt,new,
,Site Title/Tagline Color,,pt,new,
,Header Image Mode,,pt,new,
,Image visibility may vary as per the mode,,pt,new,
,Set as Background,,pt,new,
,Show Full Image,,pt,new,
,Disable Image Tint/Overlay,,pt,new,
,Site Mode,,pt,new,
,Select global site mode,,pt,new,
,Default,,pt,new,
,Dark,,pt,new,
,Top header Colors,,pt,new,
,Background color,,pt,new,
,Texts color,,pt,new,
,Menu Colors,,pt,new,
,Background Color Mode,,pt,new,
,Secondary Color - Default,,pt,new,
,Custom Color,,pt,new,
,Background Color,,pt,new,
,Texts Color,,pt,new,
,Badge Background,,pt,new,
,Badge Color,,pt,new,
,General Colors,,pt,new,
,Primary Color,,pt,new,
,Secondary Color,,pt,new,
,Background Color will not be applicable for this mode.,,pt,new,
,Global Title Color,,pt,new,
,Global Link Color,,pt,new,
,Post Title Link Color,,pt,new,
,Post Title Link Over Image Color,,pt,new,
,Post Format Icon Color,,pt,new,
,Category Colors,,pt,new,
,Category %d Color,,pt,new,
,Category %d Background Color,,pt,new,
,Category 8 will take #404040 as a text-color.,,pt,new,
,Fonts & Typography,,pt,new,
,Global Fonts Family,,pt,new,
,Google Fonts,,pt,new,
,System Fonts,,pt,new,
,Primary Font,,pt,new,
,Secondary Font,,pt,new,
,Global Letter Spacing,,pt,new,
,Global Line height,,pt,new,
,Main Banner Slider Caption Size,,pt,new,
,Page/Posts Title Size,,pt,new,
,Global Section Title Size,,pt,new,
,Spotlight Post Title Size,,pt,new,
,General Post Title Size,,pt,new,
,General Font Size,,pt,new,
,Single Content Font Size,,pt,new,
,Front-page Options,,pt,new,
,Banner Advertisement,,pt,new,
,Banner Section Advertisement,,pt,new,
,Recommended Size %1$s px X %2$s px,,pt,new,
,URL Link,,pt,new,
,Open in new tab,,pt,new,
,Show banner advertisement on,,pt,new,
,Select scope to display on banner advertisement section,,pt,new,
,Show on Homepage only,,pt,new,
,Show sitewide,,pt,new,
,Flash Posts,,pt,new,
,Enable Flash Posts Section,,pt,new,
,Flash Story Title,,pt,new,
,Flash Posts Category,,pt,new,
,Select category to be shown on trending posts ,,pt,new,
,Number of Flash Posts ,,pt,new,
,Duration,,pt,new,
,Select Flash Slide Mode,,pt,new,
,Slide Right to Left,,pt,new,
,Slide Left to Right,,pt,new,
,Main Banner Section,,pt,new,
,Enable Main Banner Slider,,pt,new,
,Banner Layouts,,pt,new,
,Select Banner Design,,pt,new,
,"Slider, Editor's Picks and Trending",,pt,new,
,Slider and Editor's Picks,,pt,new,
,Slider and Trending,,pt,new,
,Slider and Tabs,,pt,new,
,Slider and Double Tiles,,pt,new,
,Slider and Grids,,pt,new,
,Slider and Double Lists,,pt,new,
,"Slider, Trending, Tabs",,pt,new,
,Carousel,,pt,new,
,Full Slider,,pt,new,
,Banner Section Order,,pt,new,
,Select Banner Section Order,,pt,new,
,Order 2,,pt,new,
,Order 3,,pt,new,
,Order 4,,pt,new,
,Order 5,,pt,new,
,Order 6,,pt,new,
,Main News Section,,pt,new,
,Main Story Slider Title,,pt,new,
,Slider Posts Category,,pt,new,
,Select category to be shown on Main Story slider section,,pt,new,
,Number of Slides,,pt,new,
,Accepts any postive number.,,pt,new,
