msgctxt,msgid,msgid_plural,target_lang,status,issues
,DarkNews,,pl,new,
,https://afthemes.com/products/darknews/,,pl,new,unchanged_like
,"DarkNews is an advanced dark WordPress theme that's appropriate for a news, blog and magazine website. The theme includes a range of free starting pages that can be imported with a single click to create a great news portal. With 9+ custom widgets and widget areas, the theme is fully widgetized, allowing users to control site content. It also has a light and dark color mode, so you can view articles and blog posts in a trendy way. It also contains a number of helpful customizer options for building a visually appealing news site. You can configure it as you like to see how it looks before making any improvements using the live customizer. It's compatible with Elementor, Gutenberg blocks and RTL, as well as the WooCommerce plugin, which enables you to blend an online shop with our newspaper theme. The theme is ideal for a news, journal, magazine, publishing, or review site, as well as blogging. It's well-designed to bring the website to the top of search engines, and people will get outstanding support from the team if they have any problems when using it.",,pl,new,
,AF themes,,pl,new,
,https://www.afthemes.com/,,pl,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,pl,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,pl,new,
,Dashboard,,pl,new,
,Customize,,pl,new,
,Starter Sites,,pl,new,
,Elementor Kits,,pl,new,
,Block Patterns,,pl,new,
,Upgrade to Pro,,pl,new,
,Upgrade Now,,pl,new,
,The Templatespare plugin should be updated to the latest version,,pl,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,pl,new,
,Blockspare plugin version should be more than %s.,,pl,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,pl,new,
,Elespare plugin version should be more than %s.,,pl,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,pl,new,
,Are you sure you want to install this plugin?,,pl,new,
,Install Now,,pl,new,
,Activate,,pl,new,
,Activated,,pl,new,
,Get Starter Sites,,pl,new,
,Get Started,,pl,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,pl,new,
,By,,pl,new,
,More Details,,pl,new,
,"👋 Welcome, and Thank You!",,pl,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,pl,new,
,🚀 Start With One Click,,pl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,pl,new,
,View Demos,,pl,new,
,Theme dashboard,,pl,new,
,🤝 We're Here for You,,pl,new,
,Whether you're just starting or customizing your site.,,pl,new,
,Documentation,,pl,new,
,Videos,,pl,new,
,Support,,pl,new,
,⭐ Rate This Theme,,pl,new,
,"Sorry, you are not allowed to install plugins on this site.",,pl,new,
,"Error - unable to verify nonce, please try again.",,pl,new,
,"Sorry, you are not allowed to activate plugins on this site.",,pl,new,
,One thought on &ldquo;%1$s&rdquo;,,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,pl,new,
,Comments are closed.,,pl,new,
,%1$s by %2$s.,,pl,new,
,Primary Menu,,pl,new,
,Social Menu,,pl,new,
,Footer Menu,,pl,new,
%s font: on or off,on,,pl,new,
,Skip to content,,pl,new,
,-- Select --,,pl,new,
,Watch Online,,pl,new,
,Popular Tags,,pl,new,
,Breaking News,,pl,new,
,Youtube video Section,,pl,new,
,Express Posts Section,,pl,new,
,Express Posts 1,,pl,new,
,Express Posts 2,,pl,new,
,Posts List Section,,pl,new,
,Posts List %d,,pl,new,
,Posts Carousel,,pl,new,
,Latest,,pl,new,
,Popular,,pl,new,
,Trending,,pl,new,
,Editor's Picks,,pl,new,
,Trending Story,,pl,new,
,Featured Posts,,pl,new,
,Featured Categories,,pl,new,
,Featured Pages,,pl,new,
,Custom Options,,pl,new,
,Post list Section Title %d,,pl,new,
,View More,,pl,new,
,Read More,,pl,new,
,Trending Now,,pl,new,
,Connect with Us,,pl,new,
,Instagram,,pl,new,
,Popular News,,pl,new,
,Related Stories,,pl,new,
,You may have missed,,pl,new,
