msgctxt,msgid,msgid_plural,target_lang,status,issues
,ReviewNews,,nl,new,
,https://afthemes.com/products/reviewnews/,,nl,new,unchanged_like
,"ReviewNews is a dynamic, ultra-fast, and highly versatile WordPress theme made for News, Magazine, Blog, Business, and eCommerce websites across the world. With its powerful HEADER & FOOTER BUILDER that works seamlessly with the Block Editor, GUTENBERG, ELEMENTOR, BRIZY, DIVI, and other popular page builders, you can design PROFESSIONAL LAYOUTS easily using drag and drop—no coding required. Packed with 100+ STARTER SITES, 30+ CUSTOM WIDGETS, ADVANCED BLOCK PATTERNS, FLEXIBLE LAYOUT OPTIONS, AMP SUPPORT, and FULL WOOCOMMERCE INTEGRATION, it’s perfect for everything from online newspapers, corporate or NGO sites, and educational or cultural portals to personal blogs, portfolios, and lifestyle magazines. ReviewNews is fully optimized for SEO, CORE WEB VITALS, SPEED, and RESPONSIVE DESIGN, ensuring FAST LOADING and excellent performance on all devices. Built with WCAG ACCESSIBILITY, GDPR COMPLIANCE, and LIGHTWEIGHT, CLEAN CODE, it offers long-term stability and high GOOGLE PAGESPEED SCORES. MULTILINGUAL and RTL READY, with demo content in English, Spanish, German, French, Japanese, Chinese, and Arabic, ReviewNews is a truly GLOBAL, FUTURE-PROOF THEME designed for creators, publishers, and businesses who value STYLE, SCALABILITY, and PERFORMANCE across every market. Explore all features at https://afthemes.com/products/reviewnews",,nl,new,
,AF themes,,nl,new,
,https://www.afthemes.com/,,nl,new,unchanged_like
,Oops! That page can&rsquo;t be found.,,nl,new,
,It looks like nothing was found at this location. Maybe try one of the links below or a search?,,nl,new,
,Dashboard,,nl,new,unchanged_like
,Customize,,nl,new,
,Header Builder,,nl,new,
,Footer Builder,,nl,new,
,Starter Sites,,nl,new,
,Elementor Kits,,nl,new,
,Block Patterns,,nl,new,
,Upgrade to Pro,,nl,new,
,Upgrade Now,,nl,new,
,The Templatespare plugin should be updated to the latest version,,nl,new,
,"Import a Starter Site, Personalize, and Live it in 3 Easy Steps!",,nl,new,
,Blockspare plugin version should be more than %s.,,nl,new,
,"One-click Demo Import, Block Editor Ready, No Code Required! Built with Blockspare.",,nl,new,
,Elespare plugin version should be more than %s.,,nl,new,
,"One-click Import, Header/Footer Builder, Multilingual Support! Powered by Elespare.",,nl,new,
,Are you sure you want to install this plugin?,,nl,new,
,Install Now,,nl,new,
,Activate,,nl,new,
,Activated,,nl,new,
,Get Starter Sites,,nl,new,
,Get Started,,nl,new,
,"The ""Get Started"" action will install/activate the Templatespare and Blockspare plugins for Starter Sites and Templates.",,nl,new,
,By,,nl,new,
,More Details,,nl,new,
,"👋 Welcome, and Thank You!",,nl,new,
,"%s is now active. We're here to help you turn your ideas into a beautiful, professional website — quickly and confidently.",,nl,new,
,🚀 Start With One Click,,nl,new,
,"Choose from 100+ starter sites designed for blogs, magazines, businesses & more.
      Setup is simple — no coding required.",,nl,new,
,View Demos,,nl,new,
,Theme dashboard,,nl,new,
,🤝 We're Here for You,,nl,new,
,Whether you're just starting or customizing your site.,,nl,new,
,Documentation,,nl,new,
,Video Tutorials,,nl,new,
,Support,,nl,new,
,⭐ Rate This Theme,,nl,new,
,"Sorry, you are not allowed to install plugins on this site.",,nl,new,
,"Error - unable to verify nonce, please try again.",,nl,new,
,"Sorry, you are not allowed to activate plugins on this site.",,nl,new,
,One thought on &ldquo;%1$s&rdquo;,,nl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,new,
comments title,%1$s thought on &ldquo;%2$s&rdquo;,%1$s thoughts on &ldquo;%2$s&rdquo;,nl,new,
,Comments are closed.,,nl,new,
,%1$s by %2$s.,,nl,new,
,Primary Menu,,nl,new,
,Social Menu,,nl,new,
,Footer Menu,,nl,new,
,Skip to content,,nl,new,
,Open search form,,nl,new,
,"Click the setting <span class=""dashicons dashicons-admin-generic""></span> on each element to customize its settings.",,nl,new,
,Hide builder panel,,nl,new,
,Hide Builder,,nl,new,
,Device view controls,,nl,new,
,Choose an Element,,nl,new,
,Close choose element modal,,nl,new,
,Footer Layout,,nl,new,
,Create dynamic header effortlessly with drag-and-drop builder.,,nl,new,
,Header,,nl,new,
,Create dynamic footer effortlessly with drag-and-drop builder.,,nl,new,
,Footer,,nl,new,
,Enable %s Builder,,nl,new,
,Add Element,,nl,new,
,Remove Element,,nl,new,
,Configure Element,,nl,new,
,Desktop,,nl,new,
,Element Settings,,nl,new,
,close Off-Canvas Navigation,,nl,new,
,Site & Logo,,nl,new,
,Site Identity,,nl,new,
,You can change Site Identity from %s.,,nl,new,
,Promotion,,nl,new,
,Off Canvas,,nl,new,
,Off Canvas Widget Area,,nl,new,
,This widget area is used in the mobile off-canvas panel. %s,,nl,new,
,Manage widgets,,nl,new,
,Primary menu,,nl,new,
,Select Menu,,nl,new,
,You can change Menu from menu panel. %s,,nl,new,
,Manage menu,,nl,new,
,Date,,nl,new,
,Choose date format,,nl,new,
,You can change date from general settings (Settings > General > Date Format). %s,,nl,new,
,Manage Date,,nl,new,
,Top Navigation,,nl,new,
,pro,,nl,new,unchanged_like
,Site Mode,,nl,new,
,Custom HTML,,nl,new,
,HTML Content,,nl,new,
,Search,,nl,new,
,Searc Form,,nl,new,
,Custom Link,,nl,new,
,Custom link,,nl,new,
,live,,nl,new,unchanged_like
,Widget 1,,nl,new,unchanged_like
,Select Widget,,nl,new,
,Widget 2,,nl,new,unchanged_like
,Widget 3,,nl,new,unchanged_like
,Navigation,,nl,new,
,Pro,,nl,new,unchanged_like
,Copyright,,nl,new,unchanged_like
,Add widget to display . %s,,nl,new,
,Beta,,nl,new,
,No menu assigned,,nl,new,
,-- Select --,,nl,new,
,Subscribe,,nl,new,
,Popular Tags,,nl,new,
,Breaking News,,nl,new,
,Posts List Section,,nl,new,
,General,,nl,new,
,Update,,nl,new,unchanged_like
,More,,nl,new,
,Main News,,nl,new,
,Trending Now,,nl,new,
,Editor's Picks,,nl,new,
,Featured Posts,,nl,new,
,Featured Categories,,nl,new,
,Featured Pages,,nl,new,
,Custom Options,,nl,new,
,Post list Section Title %d,,nl,new,
,View More,,nl,new,
,Read More,,nl,new,
,Related Stories,,nl,new,
,You May Have Missed,,nl,new,
,Copyright &copy; {year} All rights reserved.,,nl,new,
,Body Background Color,,nl,new,
,Site Title Size,,nl,new,
,Uppercase Site Title and Tagline,,nl,new,
,Site Title/Tagline Color,,nl,new,
,Header Image Mode,,nl,new,
,Image visibility may vary as per the mode,,nl,new,
,Above Site Title,,nl,new,
,Set as Background,,nl,new,
,Show Full Image (Background),,nl,new,
,Disable Image Tint/Overlay,,nl,new,
,ReviewNews Pro,,nl,new,
,Site Color Mode,,nl,new,
,Light,,nl,new,
,Dark,,nl,new,
,Primary Color Section ,,nl,new,
,Body Background Color (Dark Mode) will be applied for this mode.,,nl,new,
,Body Background Color (Dark Mode),,nl,new,
,Secondary Color Section ,,nl,new,
,Secondary Color,,nl,new,
,Fonts & Typography,,nl,new,
,Font Family Section,,nl,new,
,Fonts Source,,nl,new,
,Theme Fonts,,nl,new,
,System Fonts,,nl,new,
,Font Family,,nl,new,
,Main Banner Options,,nl,new,
,Enable Flash News,,nl,new,
,Section Title ,,nl,new,
,Flash Posts Category,,nl,new,
,Select category to be shown on trending posts ,,nl,new,
,Main Banner,,nl,new,
,Enable Main Banner Section,,nl,new,
,Main Banner Background Image,,nl,new,
,Recommended Size %1$s px X %2$s px,,nl,new,
,Select Main Banner Order,,nl,new,
,Order 1,,nl,new,
,Order 2,,nl,new,
,Order 3,,nl,new,
,Main News Section ,,nl,new,
,Filter Posts By,,nl,new,
,Category,,nl,new,
,Tag,,nl,new,
,Select Category,,nl,new,
,Select category to be shown on main slider section,,nl,new,
,Select Tag,,nl,new,
,Select tag to be shown on main slider section,,nl,new,
,Editor's Picks Section,,nl,new,
,Select,,nl,new,
,Trending Section,,nl,new,
,Comment Count,,nl,new,
,View Count,,nl,new,
,Front-page Options,,nl,new,
,Enable Featured Post Section,,nl,new,
,Select ,,nl,new,
,Select category to be shown on featured section ,,nl,new,
,Posts List,,nl,new,
,Enable Post List Section,,nl,new,
,Section %d,,nl,new,
,Section Title,,nl,new,
